time,x,y
54.721,353,99
54.763,353,97
54.805,354,97
54.846,355,95
54.888,354,96
54.930,354,95
54.972,354,94
55.013,354,94
55.055,353,93
55.097,353,92
55.138,353,92
55.180,353,92
55.222,352,93
55.264,350,93
55.305,351,92
55.347,351,91
55.389,351,91
55.430,352,92
55.472,354,92
55.514,355,91
55.555,351,93
55.597,351,92
55.639,349,93
55.681,349,93
55.722,349,94
55.764,350,93
55.806,349,94
55.847,350,92
55.889,349,93
55.931,350,92
55.973,351,92
56.014,349,93
56.056,351,92
56.098,352,91
56.139,351,90
56.181,353,88
56.223,353,90
56.265,352,90
56.306,352,91
56.348,352,91
56.390,353,91
56.431,351,91
56.473,351,91
56.515,352,91
56.556,350,92
56.598,350,91
56.640,351,91
56.682,350,91
56.723,351,92
56.765,353,90
56.807,350,92
56.848,352,90
56.890,350,91
56.932,351,89
56.974,349,91
57.015,350,89
57.057,349,91
57.099,349,91
57.140,347,92
57.182,347,92
57.224,347,92
57.266,347,92
57.307,347,92
57.349,344,93
57.391,346,92
57.432,345,93
57.474,347,92
57.516,346,92
57.558,349,91
57.599,349,91
57.641,349,91
57.683,351,91
57.724,352,91
57.766,350,91
57.808,351,91
57.849,350,91
57.891,349,92
57.933,350,90
57.975,350,91
58.016,349,91
58.058,349,91
58.100,349,91
58.141,345,91
58.183,347,90
58.225,348,91
58.267,348,91
58.308,348,91
58.350,349,92
58.392,351,92
58.433,350,91
58.475,349,91
58.517,348,91
58.558,353,91
58.600,353,90
58.642,352,91
58.684,354,90
58.725,353,91
58.767,353,90
58.809,354,89
58.850,355,89
58.892,355,90
58.934,354,90
58.976,354,90
59.017,353,90
59.059,350,92
59.101,352,91
59.142,351,91
59.184,352,90
59.226,352,90
59.268,349,91
59.309,351,91
59.351,350,91
59.393,353,91
59.434,352,90
59.476,351,90
59.518,351,90
59.559,351,91
59.601,349,91
59.643,350,90
59.685,350,90
59.726,351,90
59.768,348,90
59.810,349,90
59.851,350,90
59.893,350,91
59.935,352,90
59.977,354,89
60.018,353,89
60.060,351,92
60.102,351,91
60.143,350,92
60.185,350,91
60.227,353,93
60.269,352,92
60.310,353,92
60.352,349,93
60.394,350,93
60.435,353,92
60.477,353,92
60.519,351,92
60.561,350,92
60.602,351,91
60.644,350,92
60.686,349,91
60.727,349,91
60.769,348,92
60.811,349,92
60.852,349,91
60.894,346,93
60.936,344,93
60.978,344,93
61.019,344,93
61.061,343,94
61.103,340,95
61.144,340,94
61.186,341,95
61.228,340,97
61.270,339,95
61.311,339,96
61.353,336,97
61.395,337,98
61.436,336,97
61.478,246,103
61.520,338,96
61.561,337,95
61.603,338,95
61.645,337,95
61.687,337,95
61.728,335,95
61.770,336,95
61.812,336,95
61.853,337,95
61.895,337,95
61.937,337,95
61.979,338,94
62.020,338,94
62.062,339,94
62.104,339,94
62.145,340,94
62.187,339,94
62.229,339,94
62.271,339,93
62.312,338,94
62.354,338,94
62.396,338,94
62.437,245,101
62.479,246,101
62.521,340,94
62.562,245,102
62.604,247,101
62.646,245,102
62.688,333,98
62.729,335,97
62.771,337,96
62.813,334,96
62.854,334,95
62.896,336,95
62.938,338,94
62.980,338,95
63.021,338,94
63.063,337,92
63.105,337,91
63.146,337,92
63.188,337,88
63.230,335,85
63.272,331,86
63.313,333,85
63.355,334,85
63.397,334,85
63.438,335,84
63.480,335,84
63.522,333,85
63.564,335,87
63.605,336,86
63.647,338,84
63.689,337,84
63.730,334,88
63.772,335,86
63.814,337,86
63.855,337,85
63.897,337,86
63.939,338,87
63.981,337,86
64.022,340,86
64.064,338,86
64.106,339,86
64.147,339,87
64.189,339,88
64.231,340,87
64.273,339,86
64.314,339,88
64.356,340,88
64.398,342,87
64.439,338,87
64.481,340,87
64.523,338,87
64.565,340,88
64.606,338,88
64.648,339,87
64.690,341,85
64.731,340,87
64.773,340,85
64.815,342,87
64.856,340,87
64.898,340,88
64.940,341,89
64.982,339,89
65.023,340,90
65.065,342,87
65.107,342,87
65.148,342,88
65.190,343,87
65.232,346,87
65.274,345,89
65.315,344,89
65.357,344,87
65.399,344,88
65.440,342,87
65.482,344,87
65.524,344,87
65.566,342,86
65.607,343,88
65.649,345,89
65.691,346,88
65.732,347,88
65.774,347,88
65.816,347,88
65.857,349,87
65.899,347,89
65.941,346,89
65.983,346,88
66.024,346,88
66.066,346,88
66.108,344,86
66.149,344,86
66.191,342,87
66.233,342,88
66.275,344,87
66.316,344,86
66.358,341,88
66.400,344,88
66.441,344,88
66.483,344,88
66.525,347,88
66.566,348,86
66.608,347,87
66.650,349,88
66.692,348,87
66.733,349,87
66.775,349,86
66.817,349,87
66.858,347,87
66.900,347,88
66.942,345,87
66.984,345,86
67.025,344,85
67.067,345,86
67.109,345,86
67.150,344,88
67.192,345,88
67.234,345,89
67.276,343,89
67.317,346,89
67.359,346,89
67.401,345,89
67.442,348,87
67.484,348,88
67.526,350,88
67.568,348,90
67.609,349,89
67.651,348,90
67.693,348,89
67.734,348,90
67.776,348,90
67.818,348,89
67.859,348,90
67.901,349,91
67.943,349,90
67.985,349,90
68.026,350,90
68.068,350,91
68.110,351,90
68.151,351,90
68.193,352,90
68.235,351,90
68.277,351,90
68.318,352,90
68.360,352,89
68.402,353,89
68.443,353,89
68.485,351,90
68.527,351,90
68.569,351,90
68.610,350,90
68.652,350,90
68.694,350,90
68.735,351,90
68.777,351,90
68.819,352,89
68.860,352,90
68.902,353,89
68.944,351,90
68.986,350,90
69.027,349,90
69.069,349,90
69.111,349,89
69.152,349,89
69.194,350,88
69.236,350,88
69.278,349,88
69.319,349,89
69.361,348,89
69.403,348,89
69.444,349,88
69.486,349,88
69.528,348,88
69.569,348,87
69.611,349,86
69.653,348,87
69.695,348,87
69.736,347,88
69.778,347,88
69.820,347,88
69.861,348,88
69.903,347,88
69.945,348,87
69.987,347,88
70.028,347,88
70.070,350,88
70.112,348,88
70.153,351,88
70.195,352,87
70.237,352,88
70.279,351,87
70.320,351,88
70.362,351,88
70.404,351,88
70.445,349,87
70.487,350,87
70.529,350,85
70.571,346,87
70.612,346,87
70.654,346,86
70.696,347,85
70.737,345,87
70.779,345,85
70.821,345,86
70.862,347,86
70.904,347,87
70.946,347,86
70.988,349,88
71.029,348,88
71.071,348,88
71.113,345,89
71.154,345,89
71.196,347,88
71.238,342,89
71.280,345,88
71.321,345,87
71.363,346,86
71.405,347,87
71.446,346,86
71.488,345,87
71.530,347,87
71.572,348,88
71.613,347,88
71.655,347,88
71.697,347,87
71.738,347,88
71.780,345,88
71.822,348,88
71.863,349,87
71.905,349,88
71.947,348,87
71.989,348,87
72.030,347,87
72.072,349,88
72.114,347,88
72.155,347,88
72.197,347,88
72.239,348,88
72.281,348,86
72.322,349,86
72.364,346,87
72.406,348,87
72.447,345,87
72.489,346,87
72.531,347,86
72.572,348,86
72.614,347,86
72.656,346,87
72.698,348,87
72.739,349,87
72.781,347,86
